name,expansion,army_type,unique_unit,unique_tech,team_bonus,civilization_bonus,image,unique_buildings
Aztecs,The Conquerors,Infantry and Monk,Jaguar Warrior;Elite Jaguar Warrior,Garland Wars;Atlatl,Relics generate +33% gold,Start the game with an Eagle Scout;Villagers carry +3 extra resources;All military units are created 11% faster;Monks gain 5 HP for every researched Monastery technology;50 extra starting gold is received after completing the first Town Center,aztecs,
Bengalis,Dynasties of India,Elephants and Ships,Ratha (Melee);Elite Ratha (Melee);Ratha (Ranged);Elite Ratha (Ranged),Paiks;Mahayana,Trade units yield 10% food in addition to gold.,Elephant units receive -25% bonus damage and are more resistant to conversion;Town Centers spawn 2 Villagers when the next Age is reached;Ships regenerate 15 HP per minute;Monks +3/+3P armor;Cavalry units +2 attack vs Skirmishers,bengalis,
Berbers,The African Kingdoms,Cavalry and Naval,Camel Archer;Elite Camel Archer;Genitour;Elite Genitour,Kasbah;Maghrabi Camels,Genitours are available at the Archery Range.,Villagers move +5%/+10% faster in Dark/Feudal Age;Stable units are 15%/20% cheaper in the Castle/Imperial Age.;Ships move +10% faster.,berbers,
Bohemians,Dawn of the Dukes,Gunpowder Units and Monks,Hussite Wagon;Elite Hussite Wagon;Houfnice,Wagenburg Tactics;Hussite Reforms,Markets work 80% faster,Blacksmiths and Universities cost -100 wood;Chemistry and Hand Cannoneer available in Castle Age;Spearman-line deals +25% bonus damage;Fervor and Sanctity affect Villagers;Mining Camp technologies are free,bohemians,
Britons,Age of Kings,Foot Archer,Longbowman;Elite Longbowman,Yeomen;Warwolf,Archery Ranges work 10% faster,Town Centers cost -50% wood upon reaching the Castle Age;Foot archers (excluding Skirmishers) have +1 range in Castle Age and +1 in Imperial Age (for +2 total);Shepherds work 25% faster,britons,
Bulgarians,Definitive Edition,Infantry and Cavalry,Konnik;Elite Konnik;Konnik (Dismounted);Elite Konnik (Dismounted),Stirrups;Bagains,Blacksmiths work 80% faster.,Militia line units are upgraded for free;Town Centers cost -50% stone (except for starting TC);Blacksmith and Siege Workshop technologies cost -50% food;Can build Krepost,bulgarians,Krepost
Burgundians,Lords of the West,Cavalry,Coustillier;Elite Coustillier;Flemish Militia,Burgundian Vineyards;Flemish Revolution,Relics generate food in addition to gold,Economic upgrades cost -33% food and are available one Age earlier than other civilizations;Stable technologies are 50% cheaper;Gunpowder units gain +25% attack;Cavalier upgrade available in the Castle Age,burgundians,
Burmese,Rise of the Rajas,Elephants and Monks,Arambai;Elite Arambai,Howdah;Manipur Cavalry,Relics are visible on the map from the game start.,Lumber Camp technologies are free;Battle Elephants have +1/+1 armor;Infantry units have +1/+2/+3 attack in the Feudal/Castle/Imperial Age;Monastery technologies are 50% cheaper,burmese,
Byzantines,Age of Kings,Defensive,Cataphract;Elite Cataphract,Greek Fire;Logistica,Monks +100% heal speed,"Buildings (except gates) have +10% HP in Dark Age / +20% HP in Feudal Age  / +30% in Castle Age / +40% in Imperial Age;Spearman, Skirmisher and Camel lines cost 25% less;Fire Ships attack 20% faster;Imperial Age costs -33%;Town Watch is free",byzantines,
Celts,Age of Kings,Infantry and Siege Weapons,Woad Raider;Elite Woad Raider,Stronghold;Furor Celtica,Siege Workshops work 20% faster,Infantry moves 15% faster starting from Feudal Age;Lumberjacks work 15% faster;Siege weapons fire 20% faster;Sheep cannot be stolen if within one Celt unit's line of sight,celts,
Chinese,Age of Kings,Archer,Chu Ko Nu;Elite Chu Ko Nu,Great Wall;Rocketry,Farms provide +10% food,Get 3 extra villagers when first TC is built. but -50 wood and -200 food;Technologies cost 5%/10%/15% in Feudal/Castle/Imperial Age.;Town Centers support 10 population instead of 5 & have +5 line of sight;Demolition Ships have +50% HP,chinese,
Cumans,Definitive Edition,Cavalry,Kipchak;Elite Kipchak,Steppe Husbandry;Cuman Mercenaries,Palisade Walls have +33% hit points.,A second Town Center can be built in the Feudal Age;Archery Ranges and Stables cost -75 wood;Siege Workshop and Battering Ram available in Feudal Age; Capped Ram upgrade available in Castle Age;Mounted units move 5%/10%/15% faster in Feudal/Castle/Imperial Age,cumans,
Dravidians,Dynasties of India,Infantry and Ships,Urumi Swordsman;Elite Urumi Swordsman;Thirisadai,Medical Corps;Wootz Steel,Docks provide +5 population space.,Receive 200 wood when advancing to the next Age;Fishermen and Fishing Ships carry +15;Barracks technologies cost -50%;Skirmishers and Elephant Archers attack 25% faster;Siege units cost -33% wood,dravidians,
Ethiopians,The African Kingdoms,Archers and Siege Weapons,Shotel Warrior;Elite Shotel Warrior,Royal Heirs;Torsion Engines,Outposts +3 line of sight and stone cost removed,The Archer line fires 18% faster;Receive +100 food and +100 gold whenever a new Age is reached;The Pikeman upgrade is free,ethiopians,
Franks,Age of Kings,Cavalry,Throwing Axeman;Elite Throwing Axeman,Bearded Axe;Chivalry,Knights have +2 line of sight,Farm upgrades are free;Castles are 25% cheaper;Mounted units have +20% HP (starting in the Feudal Age);Foragers work 15% faster,franks,
Goths,Age of Kings,Infantry,Huskarl;Elite Huskarl,Anarchy;Perfusion,Barracks operate 20% faster;Hunt lasts 20% longer,"Infantry are 20%/25%/30%/35% cheaper in the Dark/Feudal/Castle/Imperial Age;Infantry have +1/+2/+3 attack bonus against standard buildings in the Feudal/Castle/Imperial Age;Villagers have +5 attack against aggressive huntables (Wild Boar, Javelina, Elephant, Rhinoceros) and carry +15 food from hunting;Loom is researched instantly;+10 population cap in the Imperial Age",goths,
Gurjaras,Dynasties of India,Cavalry,Chakram Thrower;Elite Chakram Thrower;Shrivamsha Rider;Elite Shrivamsha Rider;Camel Scout,Kshatriyas;Frontier Guards,Camel and elephant units are created 25% faster.,Starts with 2 Forage Bushes;Can garrison Mills with livestock to produce food;Mounted units deal increased bonus damage (+20% in Feudal / +30% in Castle / and +40% in Imperial);Can garrison Docks with Fishing Ships,gurjaras,
Hindustanis,Dynasties of India,Camel Riders and Gunpowder Units,Imperial Camel Rider;Ghulam;Elite Ghulam,Shatagni;Grand Trunk Road,Camel units and light cavalry units have +2 attack against standard buildings.,Villagers are 5%/10%/15%/20% cheaper in the Dark/Feudal/Castle/Imperial Age;Camel Riders attack 20% faster;Gunpowder units units have +1/+1 armor;Can build Caravanserai in Imperial Age,hindustanis,Caravanserai
Huns,The Conquerors,Cavalry,Tarkan;Elite Tarkan,Marauders;Atheism,Stables work 20% faster,"Start the game with -100 wood, but with the population cap at the maximum;Cavalry Archers are 10%/20% cheaper in the Castle/Imperial Age;Trebuchets have +30% accuracy against units",huns,
Incas,The Forgotten,Infantry,Kamayuk;Elite Kamayuk;Slinger,Andean Sling;Fabric Shields,Start with a free Llama,Start the game with an Eagle Scout;Villagers benefit from Blacksmith infantry upgrades.;Houses support 10 population.;Buildings cost -15% stone (except starting Town Center).;Military units cost -15/20/25/30% food in Dark/Feudal/Castle/Imperial,incas,
Italians,The Forgotten,Archers and Naval,Genoese Crossbowman;Elite Genoese Crossbowman;Condottiero,Pavise;Silk Road,Condottieri are available at the Barracks.,Advancing to the next Age is 15% cheaper;Dock and University technologies are 33% cheaper;Fishing Ships are 15% cheaper;Gunpowder units are 20% cheaper,italians,
Japanese,Age of Kings,Infantry,Samurai;Elite Samurai,Yasama;Kataparuto,Galleys have +50% line of sight,Fishing Ships have 2x HP and +2 pierce armor;Fishing Ships work +5% faster in Dark Age/ +10% in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age;Lumber Camps / Mining Camps / Mills are 50% cheaper;Infantry attack 25% faster (starting in Feudal Age),japanese,
Khmer,Rise of the Rajas,Siege Weapons and Elephants,Ballista Elephant;Elite Ballista Elephant,Tusk Swords;Double Crossbow,Scorpions have +1 range.,"No buildings are required to advance to the next age or to unlock other buildings;Battle Elephants move 10% faster;Farmers don't carry food but rather add it directly to the stockpile without any drop-off, but work 5% slower;Villagers can garrison in Houses",khmer,
Koreans,The Conquerors,Tower and Naval,War Wagon;Elite War Wagon;Turtle Ship;Elite Turtle Ship,Eupseong;Shinkichon,Mangonel line minimum range reduced to 1,"Villagers have +3 Line of Sight;Stone Miners work 20% faster;Tower upgrades are free (Bombard Tower requires Chemistry);Archer Armor upgrades are free;Archers and Infantry cost -50% wood, Warships cost -20% wood",koreans,
Lithuanians,Definitive Edition,Cavalry and Monks,Leitis;Elite Leitis,Hill Forts;Tower Shields,Monastery works 20% faster.,"Each Town Center built provides 100 food.;Spearman line and Skirmishers move 10% faster.;Cavalry (except the Scout Cavalry line) get +1 attack for each Relic garrisoned in the Monastery, up to +4.",lithuanians,
Magyars,The Forgotten,Cavalry,Magyar Huszar;Elite Magyar Huszar,Corvinian Army;Recurve Bow,Cavalry Archers trained 25% faster,"Forging, Iron Casting, and Blast Furnace are free.;Scout Cavalry line is 15% cheaper.;Villagers kill wild animals in one strike.",magyars,
Malay,Rise of the Rajas,Infantry and Naval,Karambit Warrior;Elite Karambit Warrior,Thalassocracy;Forced Levy,Docks have double Line of Sight.,"Advancing in Age is +66% faster;Fish Traps are 33% cheaper;Fish Traps provide 3 times more food;Battle Elephants are 30% cheaper in the Castle Age, 40% cheaper in the Imperial Age;Receive infantry armor upgrades for free",malay,Harbor
Malians,The African Kingdoms,Infantry,Gbeto;Elite Gbeto,Tigui;Farimba,Universities research +80% faster.,Buildings cost -15% wood (except Farms & starting Town Center);Barracks units have +1/+2/+3 pierce armor in the Feudal/Castle/Imperial Age; Villagers drop off 10% more gold,malians,
Mayans,The Conquerors,Archer,Plumed Archer;Elite Plumed Archer,Hul'che Javelineers;El Dorado,Walls are 50% cheaper,"Start the game with an Eagle Scout;Start the game with +1 Villager, but with -50 food;Resources last 15% longer;Foot archers (except Skirmishers) are 10%/20%/30% cheaper in the Feudal/Castle/Imperial Age",mayans,
Mongols,Age of Kings,Cavalry Archer,Mangudai;Elite Mangudai,Nomads;Drill,Scout line has +2 Line of sight,Cavalry Archers reload 20% faster;Light Cavalry and Hussars have +30% HP;Hunters work 40% faster,mongols,
Persians,Age of Kings,Cavalry,War Elephant;Elite War Elephant,Kamandaran;Mahouts,Knights have +2 attack versus Archers,50 extra starting food and wood are received after completing the first Town Center;Town Centers and Docks have double HP and work 10%/15%/20% faster in the Feudal/Castle/Imperial Age,persians,
Poles,Dawn of the Dukes,Cavalry,Obuch;Elite Obuch,Szlachta Privileges;Lechitic Legacy,The Scout Cavalry line has +1 attack vs. archers,Villagers recover 10/15/20 HP per minute in the Feudal/Castle/Imperial Age;The Folwark replaces the Mill;Stone miners generate 0.33 gold for each stone mined,poles,Folwark
Portuguese,The African Kingdoms,Naval and Gunpowder Units,Organ Gun;Elite Organ Gun;Caravel;Elite Caravel,Carrack;Arquebus,Technologies Research 25% faster (excluding Age Up),All units cost â€“20% gold;All ships have +10% HP;Foragers generate a trickle of wood (33%);The Feitoria becomes available for building in the Imperial Age,portuguese,Feitoria
Romans,Return of Rome,Infantry,Legionary;Centurion;Elite Centurion;,Ballistas;Comitatenses,Scorpion-line minimum range reduced,"Villagers gather, build, and repair 5% faster;Galley-line and Dromons +1/+1 armor;Infantry receives double effect from Blacksmith armor upgrades;Scorpions cost -60% gold and benefit from Ballistics research",romans,
Saracens,Age of Kings,Camel and naval,Mameluke;Elite Mameluke,Zealotry;Counterweights,Foot archers have +3 attack bonus against buildings,The commodity trading fee is 5%;Markets cost 75 wood;Transport Ships have double HP and +5 carry capacity;Galleys attack 25% faster;Camel units +10 HP,saracens,
Sicilians,Lords of the West,Infantry and Cavalry,Serjeant;Elite Serjeant,First Crusade;Hauberk,Transport Ships have +5 Line of Sight and cost -50%,"100 extra starting stone is received after completing the first Town Center;Castles build 50% and Town Centers build 100% faster;Land military units (except siege units) receive -33% bonus damage;Farm upgrades provide +125% additional food to Farms before they need to be reseeded;Can build Donjons, which replace the regular Watch Tower line",sicilians,Donjon
Slavs,The Forgotten,Infantry and Siege Weapons,Boyar;Elite Boyar,Detinets;Druzhina,Military buildings (excluding Castles and Docks) provide +5 population.,Farmers work 10% faster;Supplies & Gambesons techs are free;Siege Workshop units are 15% cheaper;Monks move +20% faster,slavs,
Spanish,The Conquerors,Gunpowder and Monk,Conquistador;Elite Conquistador;Missionary,Inquisition;Supremacy,Trade units generate +25% Gold,"Builders work 30% faster (20% for Wonders, doesn't apply to starting Town Center);Blacksmith upgrades don't cost gold;Cannon Galleon projectiles have Ballistics-like accuracy and move faster;Gunpowder units fire 18% faster;Gain 20 gold for each technology researched",spanish,
Tatars,Definitive Edition,Cavalry Archer,Keshik;Elite Keshik;Flaming Camel,Silk Armor;Timurid Siegecraft,Cavalry Archers +2 Line of Sight.,Herdables contain +50% food;Units do +50% damage when attacking from higher elevations (instead of +25%);Parthian Tactics and Thumb Ring are free;Two Sheep spawn near newly-constructed Town Centers starting in the Castle Age,tatars,
Teutons,Age of Kings,Infantry,Teutonic Knight;Elite Teutonic Knight,Ironclad;Crenellations,"Units resist conversion (half as effective as Faith, but stacks with the effect of this technology)",Monks have double healing range;Towers garrison twice as many units;Murder Holes and Herbal Medicine are free;Farms are 40% cheaper;Town Centers can garrison +10 units;Barracks and Stable units receive +1/+2 melee armor in the Castle/Imperial Age,teutons,
Turks,Age of Kings,Gunpowder Units,Janissary;Elite Janissary,Sipahi;Artillery,Gunpowder units are created 20% faster,Gunpowder units have +25% HP;Gunpowder technologies are 50% cheaper; Chemistry is free;Gold Miners work 20% faster;Light Cavalry and Hussar upgrades are free;Scout Cavalry line gain +1 pierce armor,turks,
Vietnamese,Rise of the Rajas,Archers,Rattan Archer;Elite Rattan Archer;Imperial Skirmisher,Chatras;Paper Money,Imperial Skirmishers are available at the Archery Range.,Reveal enemy positions at game start.;Archery Range units have +20% HP.;Conscription is free.;Economic upgrades no longer cost wood & research 100% faster,vietnamese,
Vikings,Age of Kings,Infantry and Naval,Berserk;Elite Berserk;Longboat;Elite Longboat,Chieftans;Berserkergang,Docks are 15% cheaper,"Wheelbarrow, Hand Cart upgrades free;Warships cost -15%/-15%/-20% in the Feudal/Castle/Imperial Age (excludes Transports);Infantry have +20% HP starting from the Feudal Age",vikings,