name,id,expansion,age,develops_in,cost,build_time,applies_to,description,image,civ,type
Hand Cart,106,Age of Kings,Castle,Town Center,"{""Food"": 300, ""Wood"": 200}",55,Villagers,"Villager speed +10%, carrying capacity +50%",hand-cart,,Other
Hauberk,107,Lords of the West,Imperial,Castle,"{""Food"": 700, ""Gold"": 600}",45,Knight-line,Knight-line units +1/+2 armor,unique-tech-imperial,Sicilians,Unique
Heated Shot,108,Age of Kings,Castle,University,"{""Food"": 350, ""Gold"": 100}",30,Tower;Castle,Towers +125% and Castles +25% attack against ships,heated-shot,,Other
Heavy Camel,109,Age of Kings,Imperial,Stable,"{""Food"": 325, ""Gold"": 360}",125,Camel,Upgrade to Heavy Camel,heavy-camel-rider,,Unit
Heavy Cavalry Archer,110,Age of Kings,Imperial,Archery Range,"{""Food"":900, ""Gold"": 500}",50,Cavalry Archer,Upgrade to Cavalry Archer,heavy-cavalry-archer,,Unit
Heavy Demolition Ship,111,Age of Kings,Imperial,Dock,"{""Wood"": 200, ""Gold"": 300}",50,Demolition Ship,Upgrade to Heavy Demolition Ship,heavy-demolition-ship,,Unit
Heavy Plow,112,Age of Kings,Castle,Mill,"{""Food"": 125, ""Wood"": 125}",40,Farm;Farmers,Food amount +75 and Farmers carry +1 food,heavy-plow,,Other
Heavy Scorpion,113,Age of Kings,Imperial,Siege Workshop,"{""Food"": 800, ""Wood"": 900}",50,Scorpion,Upgrade to Heavy Scorpion,heavy-scorpion,,Unit
Herbal Medicine,114,Age of Kings,Castle,Monastery,"{""Gold"": 200}",35,Garrisoned Units,Garrisoned Units 6x healing speed,herbal-medicine,,Other
Heresy,115,Age of Kings,Castle,Monastery,"{""Gold"": 1000}",60,Monks,Units converted by enemy Monks die instead of joining them,heresy,,Other
Hill Forts,116,The Last Khans,Castle,Castle,"{""Food"": 250, ""Gold"": 250}",40,Town Centers,Town Centers +3 range,unique-tech-castle,Lithuanians,Unique
Hoardings,117,Age of Kings,Imperial,Castle,"{""Food"": 400, ""Gold"": 400}",75,Castle,Castle HP +21%,hoardings,,Other
Horse Collar,118,Age of Kings,Feudal,Mill,"{""Food"": 75, ""Wood"": 75}",20,Farm,Food amount +75,horse-collar,,Other
Houfnice,119,Dawn of the Dukes,Imperial,Siege Workshop,"{""Food"": 1100, ""Gold"": 800}",140,Bombard Cannons,"Grants access to an improved, unique version of a Bombard Cannon",houfnice,Bohemians,Unit
Howdah,120,Rise of the Rajas,Imperial,Castle,"{""Food"": 400, ""Wood"": 300}",40,Battle Elephants,Battle Elephants +1/+1 armor,unique-tech-castle,Burmese,Unique
Hul'che Javelineers,121,Lords of the West,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Skirmishers,Skirmishers throw two projectiles,unique-tech-castle,Mayans,Other
Husbandry,122,Age of Kings,Castle,Stable,"{""Food"": 150}",50,Cavalry;Cavalry Archer;Conquistador,Mounted units speed +10%,husbandry,,Other
Hussar,123,The Conquerors,Imperial,Stable,"{""Food"": 500, ""Gold"": 600}",50,Ligth Cavalry,Upgrade to Hussar,hussar,,Unit
Hussite Reforms,124,Dawn of the Dukes,Imperial,Castle,"{""Food"": 500, ""Gold"": 450}",45,Monks and Monastery technologies,Turns the gold cost of Monks and Monastery technologies into food,unique-tech-imperial,Bohemians,Unique
Illumination,125,Age of Kings,Imperial,Monastery,"{""Gold"": 120}",65,Monks,Monk's faith regenerates 50% faster,illumination,,Other
Imperial Age,126,Age of Kings,Castle,Town Center,"{""Food"": 1000, ""Gold"": 800}",190,,Advance to the Imperial Age,imperial-age,,Age
Inquisition,127,The Forgotten,Castle,Castle,"{""Food"": 100, ""Gold"": 300}",40,Monks,Monks convert faster & gives Missionaries +1 range,unique-tech-castle,Spanish,Unique
Iron Casting,128,Age of Kings,Castle,Blacksmith,"{""Food"": 220, ""Gold"": 120}",70,Infantry;Cavalry,Infantry/cavalry attack +1,iron-casting,,Other
Ironclad,129,The Forgotten,Castle,Castle,"{""Wood"": 400, ""Gold"": 350}",60,Siege Weapons,Siege weapon melee armor +4,unique-tech-castle,Teutons,Unique
Kamandaran,130,The Last Khans,Castle,Castle,"{""Food"": 400, ""Gold"": 300}",40,Archer,Archer line units cost 60 wood instead of 25 wood & 45 gold,unique-tech-castle,Persians,Unique
Kasbah,131,The African Kingdoms,Castle,Castle,"{""Food"": 250, ""Gold"": 250}",40,Castle,Team Castles work +25% faster,unique-tech-castle,Berbers,Unique
Kataparuto,132,Age of Kings,Imperial,Castle,"{""Food"": 550, ""Gold"": 300}",60,Japanese;Trebuchet,Trebuchets pack/unpack faster and fire 33% faster,unique-tech-imperial,Japanese,Unique
Keep,133,Age of Kings,Imperial,University,"{""Food"": 500, ""Wood"": 350}",75,Guard Tower,Upgrade to Keep,keep,,Other
Kshatriyas,134,Dynasties of India,Castle,Castle,"{""Food"": 500, ""Gold"": 450}",-1,Military Units,Military units cost -25% food,unique-tech-castle,Gurjaras,Unique
Leather Archer Armor,135,Age of Kings,Castle,Blacksmith,"{""Food"": 150, ""Gold"": 150}",55,Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador,Archer and Cavalry Archer armor +1/+1,leather-archer-armor,,Other
Lechitic Legacy,136,Dawn of the Dukes,Imperial,Castle,"{""Food"": 750, ""Gold"": 550}",60,Scout Cavalry,Gives 33% trample damage (blast damage) to the Scout Cavalry line within 0.5 tile blast radius,unique-tech-imperial,Poles,Unique
Light Cavalry,137,Age of Kings,Castle,Stable,"{""Food"": 150, ""Gold"": 50}",45,Scout,Upgrade to Light Cavalry,light-cavalry,,Unit
Logistica,138,Age of Kings,Imperial,Castle,"{""Food"": 1000, ""Gold"": 600}",50,Byzantines;Cataphract,Cataphract +0.5 blast radius - trample damage (5 damage) and +6 attack against infantry,unique-tech-imperial,Byzantines,Unique
Long Swordman,139,Age of Kings,Castle,Barracks,"{""Food"": 200, ""Gold"": 65}",40,Man At Arms,Upgrade to Long Swordman,long-swordman,,Unit
Loom,140,Age of Kings,Dark,Town Center,"{""Gold"": 50}",25,Villager,"Villager HP +15, armor +1/+2",loom,,Other
Maghrabi Camels,141,The African Kingdoms,Imperial,Castle,"{""Food"": 700, ""Gold"": 300}",40,Camels,Camel troops regenerate,unique-tech-imperial,Berbers,Unique
Mahayana,142,Dynasties of India,Imperial,Castle,"{""Wood"": 800, ""Gold"": 650}",-1,Villagers,Villagers and Monks take -10% population space,unique-tech-imperial,Bengalis,Unique
Mahouts,143,Age of Kings,Imperial,Castle,"{""Food"": 300, ""Gold"": 300}",50,Persians;War Elephant,War Elephants move 30% faster,unique-tech-imperial,,Other
Man At Arms,144,Age of Kings,Feudal,Barracks,"{""Food"": 40, ""Gold"": 40}",40,Militia,Upgrade to Man at Arms,man-at-arms,,Unit
Manipur Cavalry,145,Rise of the Rajas,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Cavalry;Arambai,Cavalry deals +4 bonus attack vs. archers,unique-tech-imperial,Burmese,Unique
Marauders,146,The Forgotten,Castle,Castle,"{""Wood"": 300, ""Gold"": 200}",40,Stables,Tarkans can be trained at the Stable,unique-tech-castle,Huns,Unique
Masonry,147,Age of Kings,Castle,University,"{""Food"": 150, ""Wood"": 175}",50,Buildings;Tower,"Buildings +10% HP, +1/+1 armor, and +3 building armor",masonry,,Other
Medical Corps,148,Dynasties of India,Castle,Castle,"{""Food"": 300, ""Gold"": 200}",-1,Elephant Units,Elephant units regenerate 30 HP per minute,unique-tech-castle,Dravidians,Unique
Murder Holes,149,Age of Kings,Castle,University,"{""Food"": 200, ""Stone"": 100}",35,Castle;Tower,Eliminates minimum range of all buildings,murder-holes,,Other
Nomads,150,The Forgotten,Castle,Castle,"{""Wood"": 300, ""Gold"": 150}",40,Houses,Houses do not lose population when destroyed,unique-tech-castle,Mongols,Unique
Obsidian Arrows,151,The Forgotten,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Archers,Archer line has +6 attack vs standard buildings and stone defenses,unique-tech-castle,Mayans,Unique
Onager,152,Age of Kings,Imperial,Siege Workshop,"{""Food"": 800, ""Gold"": 500}",75,Mangonel,Upgrade to Onager,onager,,Unit
Padded Archer Armor,153,Age of Kings,Feudal,Blacksmith,"{""Food"": 100}",40,Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador,Archer and Cavalry Archer armor +1/+1,padded-archer-armor,,Other
Paiks,154,Dynasties of India,Castle,Castle,"{""Wood"": 375, ""Gold"": 275}",45,Rathas;Elephant Units,Rathas and elephant units attack 20% faster,unique-tech-castle,Bengalis,Unique
Paladin,155,Age of Kings,Imperial,Stable,"{""Food"": 1300, ""Gold"": 750}",170,Cavalier,Upgrade to Paladin,paladin,,Unit
Panokseon,156,The Forgotten,Castle,Castle,"{""Food"": 300,""Wood"": 300}",40,Turtle Ships,Turtle Ships move 15% faster,unique-tech-castle,Koreans,Unique
Paper Money,157,Rise of the Rajas,Imperial,Castle,"{""Food"": 550,""Wood"": 200}",60,Player,Lumberjacks generate 0.014 gold (0.023 gold when fully upgraded) per second while gathering wood,unique-tech-imperial,Vietnamese,Unique
Parthian Tactics,158,Age of Kings,Imperial,Archery Range,"{""Food"":200, ""Gold"": 250}",65,Cavalry Archer;Mangudai,Cavalry Archers +1/+2 armor and increased attack vs Pikemen,unique-tech-imperial,,Other
Pavise,159,The Forgotten,Castle,Castle,"{""Food"": 200, ""Gold"": 150}",40,Foot Archers,Foot archers +1/+1 armor,unique-tech-castle,Italians,Unique
Perfusion,160,Age of Kings,Imperial,Castle,"{""Food"": 400, ""Gold"": 600}",40,Goths;Barracks,Barracks work 2x faster,unique-tech-imperial,Goths,Unique
Pikeman,161,Age of Kings,Castle,Barracks,"{""Food"": 160, ""Gold"": 90}",35,Spearman,Upgrade to Spearman,pikeman,,Unit
Plate Barding Armor,162,Age of Kings,Imperial,Blacksmith,"{""Food"":350,""Gold"":200}",75,Cavalry,Cavalry armor +1/+2,plate-barding-armor,,Other
Plate Mail Armor,163,Age of Kings,Imperial,Blacksmith,"{""Food"": 300, ""Gold"": 150}",70,Infantry,Infantry armor +1/+2,plate-mail-armor,,Other
Recurve Bow,164,The Forgotten,Imperial,Castle,"{""Wood"": 600, ""Gold"": 400}",40,Cavalry Archers,Cavalry Archers +1 range and attack,unique-tech-imperial,Magyars,Unique
Redemption,165,Age of Kings,Castle,Monastery,"{""Gold"": 475}",50,Monks,Monks can convert most buildings and siege units,redemption,,Other
Ring Archer Armor,166,Age of Kings,Imperial,Blacksmith,"{""Food"": 250, ""Gold"": 250}",70,Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador,Archer and Cavalry Archer armor +1/+2,ring-archer-armor,,Other
Rocketry,167,Age of Kings,Imperial,Castle,"{""Food"": 600, ""Gold"": 600}",60,Chinese;Chu Ko Nu;Scorpion,Chu Ko Nu +2 pierce damage and Scorpion +4 pierce,unique-tech-imperial,Chinese,Unique
Royal Heirs,168,The African Kingdoms,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Shotel Warriors,Shotels and Camel units receive -3 damage from Mounted Units,unique-tech-castle,Ethiopians,Unique
Sanctity,169,Age of Kings,Castle,Monastery,"{""Gold"": 120}",60,Monks,Monks +15 health points,sanctity,,Other
Sappers,170,Age of Kings,Imperial,Castle,"{""Food"": 400, ""Wood"": 200}",10,Villagers,Villagers +15 attack vs buildings and +3 attack vs Rams,unique-tech-imperial,,Other
Scale Barding Armor,171,Age of Kings,Feudal,Blacksmith,"{""Food"": 150}",45,Cavalry,Cavalry armor +1/+1,scale-barding-armor,,Other
Scale Mail Armor,172,Age of Kings,Feudal,Blacksmith,"{""Food"": 100}",40,Infantry,Infantry armor +1/+1,scale-mail-armor,,Other
Shatagni,173,The Forgotten,Imperial,Castle,"{""Food"": 500, ""Gold"": 300}",40,Hand Cannoneers,Hand Cannoneers +2 range,unique-tech-imperial,Hindustanis,Unique
Shinkichon,174,The Conquerors,Imperial,Castle,"{""Food"": 800, ""Gold"": 500}",60,Koreans;Mangonel,Mangonel line +1 range,unique-tech-imperial,Koreans,Unique
Shipwright,175,Age of Kings,Imperial,Dock,"{""Gold"": 300, ""Food"": 1000}",60,Ships,Ships wood cost -20% and creation speed +54%,shipwright,,Other
Siege Engineers,176,Age of Kings,Imperial,University,"{""Food"":500,""Wood"": 600}",45,Siege Weapons,Siege weapons +1 range (except Rams) and +20% attack vs buildings (Petards +40%),siege-engineers,,Other
Siege Onager,177,Age of Kings,Imperial,Siege Workshop,"{""Food"": 1450, ""Gold"": 1000}",150,Onager,Upgrade to Siege Onager,siege-onager,,Unit
Siege Ram,178,Age of Kings,Imperial,Siege Workshop,"{""Food"": 1000}",75,Capped Ram,Upgrade to Siege Ram,siege-ram,,Unit
Silk Armor,179,The Last Khans,Castle,Castle,"{""Wood"": 400, ""Gold"": 300}",40,Scout Cavalry;Cavalry Archers,Scout Cavalry line and Cavalry Archers +1 pierce armor,unique-tech-castle,Tatars,Unique
Silk Road,180,The Forgotten,Imperial,Castle,"{""Food"": 500, ""Gold"": 250}",60,Trade Units,Trade unit cost halved,unique-tech-imperial,Italians,Unique
Sipahi,181,The Forgotten,Castle,Castle,"{""Food"": 350, ""Gold"": 150}",60,Cavalry Archers,Cavalry Archers +20 HP,unique-tech-castle,Turks,Unique
Spies,182,Age of Kings,Imperial,Castle,"{""Gold"": 200}",1,Random map games,Show enemy line of sight,spies-treason,,Other
Squires,183,Age of Kings,Castle,Barracks,"{""Food"": 100}",40,Infantry,Infantry speed +10%,squires,,Other
Steppe Husbandry,184,The Last Khans,Castle,Castle,"{""Food"": 200, ""Wood"": 300}",40,Scout Cavalry;Cavalry Archers,Scout Cavalry line and Cavalry Archers are created 80% faster,unique-tech-castle,Cumans,Unique
Stirrups,185,Definitive Edition,Castle,Castle,"{""Food"": 400, ""Gold"": 200}",40,Scout Cavalry;Konniks,Scout Cavalry line and Konniks attack 25% faster,unique-tech-castle,Bulgarians,Unique
Stone Mining,186,Age of Kings,Feudal,Mining Camp,"{""Food"": 100, ""Wood"": 75}",30,Stone Miners,Villagers mine stone 15% faster,stone-mining,,Other
Stone Shaft Mining,187,Age of Kings,Castle,Mining Camp,"{""Food"": 200, ""Wood"": 150}",75,Stone Miners,Villagers mine stone 15% faster,stone-shaft-mining,,Other
Stronghold,188,The Forgotten,Castle,Castle,"{""Food"": 250, ""Gold"": 200}",30,Castle;Towers,Castles and towers fire 33% faster & heals allied infantry near castles by 30 HP per minute,unique-tech-castle,Celts,Unique
Sultans,189,The Forgotten,Castle,Castle,"{""Food"": 400, ""Wood"": 400}",40,Gold Miners;Relics;Trading,All gold gathering is 10% faster,unique-tech-castle,Indians,Unique
Supplies,190,Definitive Edition,Feudal,Barracks,"{""Food"": 75, ""Gold"": 75}",20,Militia line,Militia line cost -15 food,supplies,,Other
Supremacy,191,The Conquerors,Imperial,Castle,"{""Food"": 400, ""Gold"": 250}",60,Spanish;Villager,"Villagers +6 attack, +40 hit points and +2/+2 armor",unique-tech-imperial,Spanish,Unique
Szlachta Privileges,192,Dawn of the Dukes,Castle,Castle,"{""Food"": 500, ""Gold"": 300}",45,Knight-line,Reduces the gold cost of Knight-line units by 60%,unique-tech-castle,Poles,Unique
Thalassocracy,193,Rise of the Rajas,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Docks,Turns Docks into Harbors,unique-tech-castle,Malay,Unique
Theocracy,194,Age of Kings,Imperial,Monastery,"{""Gold"": 200}",75,Monks,Only one Monk in a group must rest after a conversion,theocracy,,Other
Thumb Ring,195,Age of Kings,Castle,Archery Range,"{""Food"": 300, ""Wood"": 250}",45,Archer;Cavalry Archer,Archers and Cavalry Archers fire faster and with 100% accuracy. Slingers +17% attack speed.,thumb-ring,,Other
Tigui,196,The African Kingdoms,Castle,Castle,"{""Food"": 200, ""Wood"": 300}",40,Town Centers,Town Centers fire arrows even when not garrisoned. They also fire 8 additional arrows,unique-tech-castle,Malians,Unique
Timurid Siegecraft,197,The Last Khans,Imperial,Castle,"{""Wood"": 400, ""Gold"": 500}",40,Trebuchets,Trebuchets +1 range,unique-tech-imperial,Tatars,Unique
Torsion Engines,198,The African Kingdoms,Imperial,Castle,"{""Food"": 1000, ""Gold"": 300}",40,Siege Units,Siege Workshop units blast radius increased,unique-tech-imperial,Ethiopians,Unique
Tower Shields,199,The Last Khans,Imperial,Castle,"{""Food"": 800, ""Gold"": 200}",40,Spearman;Skirmisher,Spearman and Skirmisher lines +1 pierce armor,unique-tech-imperial,Lithuanians,Unique
Town Patrol,200,Age of Kings,Castle,Town Center,"{""Food"": 300, ""Gold"": 100}",40,Buildings;Towers,+4 Line of sight,town-patrol,,Other
Town Watch,201,Age of Kings,Feudal,Town Center,"{""Food"": 75}",25,Buildings;Towers,+4 Line of sight,town-watch,,Other
Treadmill Crane,202,Age of Kings,Castle,University,"{""Food"": 300, ""Wood"": 200}",50,Builder,Villagers build 20% faster,treadmill-crane,,Other
Treason,203,Age of Kings,Imperial,Castle,"{""Gold"": 400}",1,Regicide games,See enemy Kings for a short time (Regicide only),spies-treason,,Other
Tusk Swords,204,Rise of the Rajas,Castle,Castle,"{""Wood"": 200, ""Gold"": 300}",40,Battle Elephants,Battle Elephants +3 attack,unique-tech-castle,Khmer,Unique
Two Handed Swordsman,205,Age of Kings,Imperial,Barracks,"{""Food"": 300, ""Gold"": 100}",60,Long Swordman,Upgrade to Long Swordsman,two-handed-swordsman,,Unit
Two Man Saw,206,Age of Kings,Imperial,Lumber Camp,"{""Wood"": 200, ""Food"": 300}",100,Wood Chopper,Villagers chop wood 10% faster,two-man-saw,,Other
Wagenburg Tactics,207,Dawn of the Dukes,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",45,Gunpowder Units,Gunpowder units move 15% faster,unique-tech-castle,Bohemians,Unique
War Galley,208,Age of Kings,Castle,Dock,"{""Food"": 230, ""Gold"": 100}",50,Galley,Upgrade to War Galley,war-galley,,Unit
Warwolf,209,The Forgotten,Imperial,Castle,"{""Wood"": 800, ""Gold"": 400}",40,Trebuchets,"Trebuchets do blast damage, 100% accuracy against units",unique-tech-imperial,Britons,Unique
Wheelbarrow,210,Age of Kings,Feudal,Town Center,"{""Food"": 175, ""Wood"": 50}",75,Villagers,"Villager speed +10%, carrying capacity +25%",wheelbarrow,,Other
Wootz Steel,211,Dynasties of India,Imperial,Castle,"{""Food"": 750, ""Gold"": 600}",-1,Infantry and Cavalry,Infantry and cavalry attacks ignore armor,unique-tech-imperial,Dravidians,Unique
Yasama,212,The Forgotten,Castle,Castle,"{""Food"": 300, ""Wood"": 300}",40,Towers,Towers fire 2 extra arrows,unique-tech-castle,Japanese,Unique
Yeomen,213,Age of Kings,Imperial,Castle,"{""Food"": 750, ""Gold"": 450}",60,Britons;Foot Archer;Skirmisher;Tower,Foot archers and skirmishers +1 range +1 line of sight and Towers +2 attack,unique-tech-castle,Britons,Unique
Zealotry,,Definitive Edition,Castle,Castle,"{""Food"": 400, ""Gold"": 400}",50,Camel Rider;Mameluke,Camel Riders and Mamelukes +20 HP,unique-tech-castle,Saracens,Unique