name,description,age,created_in,cost,build_time,reload_time,attack_delay,movement_rate,line_of_sight,hit_points,min_range,max_range,attack,melee_armor,ranged_armor,attack_bonus,armor_bonus,special,search_radius,accuracy,blast_radius,image,type,armor_class,expansion
Alfred the Alpaca,Cheat unit.,Dark,Town Center,,0,2,0,1,6,140,0,0,120,20,20,,,,-1,100,1,alfred-the-alpaca,Cheat,None,Age of Empires II HD: The Forgotten
Amazon Archer,Fast-moving archer. Strong vs. infantry. Weak vs. cavalry.,Dark,Archery Range,,16,1.9,0,1.1,6,45,0,4,5,0,1,,,,-1,80,0,amazon-archer,Unbuildable,Archer,Age of Empires II HD: The Forgotten
Amazon Warrior,Fast-moving infantry unit. Strong vs. buildings and siege weapons. Weak vs. archers and cavalry. ,Dark,Barracks,,20,2,0,1.1,3,45,0,0,8,0,0,,,,-1,100,0,amazon-warrior,Unbuildable,Infantry,Age of Empires II HD: The Forgotten
Arambai,Burmese unique cavalry archer with a powerful but inaccurate dart attack. Strong vs. infantry and cavalry. Weak vs. archers.,Castle,Castle,"{""Wood"": 75,""Gold"": 60}",21,2,0,1.3,7,60,0,5,12,0,1,,,Missed projectiles deal 100% damage too,7,20,0,arambai,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Age of Empires II HD: Rise of the Rajas
Arbalester,"Ranged unit. Strong vs. units at long range. Weak vs. Elite Skirmishers, Onagers, and units at close range.",Imperial,Archery Range,"{""Wood"": 25,""Gold"": 45}",27,2,0.35,0.96,7,40,0,5,6,0,0,"[{""amount"": 3, ""against"": ""Spearmen""}]",,,7,90,0,arbalester,Military,Archer,Age of Kings
Archer,Ranged unit. Strong vs. units at long range. Weak vs. Skirmishers and units at close range.,Feudal,Archery Range,"{""Wood"": 25,""Gold"": 45}",35,2,0.35,0.96,6,30,0,4,4,0,0,,,,6,80,0,archer,Military,Archer,Age of Kings
Armored Elephant,A mounted siege unit with high HP.,Castle,Siege Workshop,"{""Food"": 120,""Gold"": 95}",36,3,0,0.6,4,180,0,0,4,-2,140,"[{""amount"": 75, ""against"": ""Buildings""}, {""amount"": 25, ""against"": ""Siege Weapons""}]","[{""amount"": 7, ""against"": ""Cavalry""}, {""amount"": 17, ""against"": ""War Elephant""}]",Cannot be converted from distance,4,100,0,armored-elephant,Military,Cavalry;War Elephant;Siege Weapon;Ram,Dynasties of India
Bactrian Camel,Unbuildable scout unit.,Dark,N/A,,N/A,0,0,1.2,4,50,0,0,0,0,0,,,,-1,100,0,bactrian-camel,Unbuildable,Cavalry,The Last Khans
Ballista Elephant,Khmer unique elephant equipped with a Scorpion. Can destroy trees. Strong vs. infantry and archers. Weak vs. cavalry and siege weapons.,Castle,Castle,"{""Food"": 100,""Gold"": 80}",25,2.5,0,0.8,7,250,0,5,8,0,3,,,,6,100,0,ballista-elephant,Military,Cavalry;War Elephant;Siege Weapon;Unique Unit;Hussite Wagon,Definitive Edition
Battering Ram,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Castle,Siege Workshop,"{""Wood"": 160,""Gold"": 75}",36,5,0,0.6,3,175,0,0,2,0,180,"[{""amount"": 125, ""against"": ""Buildings""}, {""amount"": 40, ""against"": ""Siege""}]","[{""amount"": -3, ""against"": ""Melee""}]",Can garrison 6 units. Each unit increases speed and damage.,3,100,0,battering-ram,Military,Siege Weapon;Ram,Age of Kings
Battle Elephant,"Slow and heavy cavalry. Strong vs. cavalry, infantry, and archers. Weak vs. Monks and Pikemen.",Castle,Stable,"{""Food"": 110,""Gold"": 70}",24,2,0,0.88,7,250,0,0,12,1,2,,,,4,100,0.4,battle-elephant,Military,Cavalry;War Elephant,Definitive Edition
Berserk,Viking unique infantry unit that slowly heals itself. Strong vs. infantry and siege weapons. Weak vs. archers.,Castle,Castle,"{""Food"": 65,""Gold"": 25}",16,2,0,1.05,3,54,0,0,9,0,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}]",,,3,100,0,berserk,Military,Infantry;Unique Unit,Age of Kings
Bombard Cannon,Siege weapon with long range. Strong vs. buildings and siege weapons. Weak vs. melee units.,Imperial,Siege Workshop,"{""Wood"": 225,""Gold"": 225}",56,6.5,0.21,0.7,14,80,5,12,40,2,5,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 40, ""against"": ""Camels""}, {""amount"": 40, ""against"": ""Siege""}, {""amount"": 40, ""against"": ""Stone Defenses""}]",,,14,92,0.5,bombard-cannon,Military,Siege Weapon;Gunpowder Unit,Age of Kings
Boyar,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Halberdiers, Heavy Camel Riders, and Monks.",Castle,Castle,"{""Food"": 60,""Gold"": 70}",15,1.9,0,1.4,5,100,0,0,12,4,1,,,,4,100,0,boyar,Military,Cavalry;Unique Unit,Age of Empires II HD: The Forgotten
Camel,Gaia unit.,N/A,N/A,,N/A,0,0,1.2,2,50,0,0,0,0,0,,,,1,0,0,camel,Gaia,None,Age of Kings
Camel Archer,"Berber unique mounted archer. Strong vs. Cavalry Archers and infantry. Weak vs. Pikemen, Skirmishers, and Camel Riders.",Castle,Castle,"{""Wood"": 50,""Gold"": 60}",25,2,0,1.4,5,55,0,4,7,0,1,"[{""amount"": 4, ""against"": ""Cavalry Archer""}]",,,5,95,0,camel-archer,Military,Archer;Cavalry Archer;Camel;Unique Unit,Age of Empires II HD: The African Kingdoms
Camel Rider,"Fast anti-cavalry unit. Strong vs. cavalry. Weak vs. Spearmen, Monks, and archers. (not classified as cavalry)",Castle,Stable,"{""Food"": 55,""Gold"": 60}",22,2,0,1.45,4,100,0,0,6,0,0,"[{""amount"": 10, ""against"": ""Cavalry""}, {""amount"": 5, ""against"": ""Ships""}, {""amount"": 7, ""against"": ""Camels""}]",,,4,100,0,camel-rider,Military,Camel,Age of Kings
Cannon Galleon,"Anti-building siege warship with long range, but cannot attack enemies at close range. Strong vs. buildings. Weak vs. other units.",Imperial,Dock,"{""Wood"": 200,""Gold"": 150}",46,10,0,1.1,15,120,3,13,50,0,6,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 25, ""against"": ""Siege""}]",,,15,100,0.25,cannon-galleon,Navy,Ship;Gunpowder Unit,Age of Kings
Canoe,Small fast-moving boat that fires multiple arrows. Strong vs. land units and buildings.,N/A,N/A,,N/A,3,0,1.5,8,70,0,5,7,0,6,,,,8,100,0,canoe,Unbuildable,None,Age of Empires II HD: The Forgotten
Capped Ram,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 75}",36,5,0,0.6,3,200,0,0,3,0,190,"[{""amount"": 150, ""against"": ""Buildings""}, {""amount"": 50, ""against"": ""Siege""}]","[{""amount"": -3, ""against"": ""Melee""}, {""amount"": 1, ""against"": ""Ram""}]",Can garrison 6 units. Each unit increases speed and damage.,3,100,1.5,capped-ram,Military,Siege Weapon;Ram,Age of Kings
Caravel,Portuguese unique ship that fires bolts that pierce multiple units. Strong vs. large groups of ships. Weak vs. Fire Ships.,Castle,Dock,"{""Wood"": 90,""Gold"": 34}",36,3,0,1.43,9,130,0,6,6,0,8,,,,9,100,0,caravel,Navy,Ship;Unique Unit,Age of Empires II HD: The African Kingdoms
Cataphract,Byzantine unique cavalry unit. Strong vs. infantry. Weak vs. archers.,Castle,Castle,"{""Food"": 70,""Gold"": 75}",20,1.8,0,1.35,4,110,0,0,9,2,1,"[{""amount"": 9, ""against"": ""Infantry""}]","[{""amount"": 12, ""against"": ""Cavalry""}]",,4,100,0,cataphract,Military,Cavalry;Unique Unit,Age of Kings
Cavalier,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Pikemen, Camel Riders, and Monks.",Imperial,Stable,"{""Food"": 60,""Gold"": 75}",30,1.8,0,1.35,4,120,0,0,12,2,2,,,,4,100,0,cavalier,Military,Cavalry,Age of Kings
Cavalry Archer,Mounted archer. Strong vs. slow units at long range. Weak vs. Elite Skirmishers and units at close range.,Castle,Archery Range,"{""Wood"": 40,""Gold"": 70}",34,2,1,1.4,5,50,0,4,6,0,0,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,6,50,0,cavalry-archer,Military,Archer;Cavalry Archer;Cavalry,Age of Kings
Centurion,"Roman Unique Cavalry Unit, trained at Castle. Increases movement speed by 10% (15% Elite) and attack speed by 25% (33% Elite) of Militia-line units in 10 (12 Elite) tile radius. The effect does not stack for multiple Centurions.",Castle,Castle,"{""Food"": 75,""Gold"": 85}",24,1.9,0,1.35,4,110,0,0,13,2,3,,,Emits an aura that increases movement and attack speed of nearby Militia line units by 20%,5,100,0,centurion,Military,Cavalry;Unique Unit,Return to Rome
Chakram Thrower,Gurjara unique infantry unit with ranged melee attack that passes through enemies for 100% damage. Strong vs. infantry. Weak vs. archers and siege weapons. ,Castle,Castle,"{""Food"": 65,""Gold"": 30}",15,2,0.8,1.15,7,40,0,5,3,1,0,"[{""amount"": 1, ""against"": ""Eagle Warrior""}, {""amount"": 1, ""against"": ""Standard Buildings""}]",,Has 100% pass-through damage in 0.2 tiles width,-1,100,0,chakram-thrower,Military,Infantry;Unique Unit,Dynasties of India
Champion,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,Imperial,Barracks,"{""Food"": 60,""Gold"": 20}",21,2,0,0.9,5,70,0,0,13,1,1,"[{""amount"": 6, ""against"": ""Eagles""}, {""amount"": 3, ""against"": ""Buildings""}]",,,5,100,0,champion,Military,Infantry,Age of Kings
Chu Ko Nu,Chinese unique archer with rapid-fire attack. Strong vs. infantry. Weak vs. archers and siege weapons.,Castle,Castle,"{""Wood"": 40,""Gold"": 35}",19,3,0.21,0.96,6,45,0,4,8,0,0,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,6,85,0,chukonu,Military,Archer,Age of Kings
Cobra Car,Cheat unit.,N/A,N/A,,N/A,0.25,0,4.5,12,500,0,10,10,10,10,,,,12,100,1,cobra-car,Cheat,Siege Weapon,Age of Kings
Composite Bowman,The Composite Bowman is a foot archer with an attack which ignores the pierce armor of all land units except siege units.,Castle,Castle,"{""Wood"": 35,""Gold"": 45}",12,2,0.5,0.96,7,40,0,4,4,1,0,"[{""amount"": 2, ""against"": ""Spearmen""}]",,Attacks ignore pierce armor of non-siege land units,-1,100,0,composite-bowman,Military,Archer;Unique Unit,The Mountain Royals
Condottiero,Japanese unique infantry unit with fast attack. Strong vs. unique units and infantry. Weak vs. archers.,Imperial,Barracks,"{""Food"": 50,""Gold"": 35}",18,1.9,0,1.2,6,80,0,0,9,1,0,,,,6,100,0,condottiero,Military,Infantry;Unique Unit;Condottiero,Age of Empires II HD: The Forgotten
Conquistador,"Spanish unique mounted hand cannoneer. Strong vs. infantry. Weak vs. Pikemen, Skirmishers, and Monks.",Castle,Castle,"{""Food"": 60,""Gold"": 70}",24,2.9,0.4,1.3,8,55,0,6,16,2,1,"[{""amount"": 4, ""against"": ""Rams""}]",,,8,65,0,conquistador,Military,Archer;Cavalry Archer;Cavalry;Gunpowder Unit;Unique Unit,Age of Kings
Coustillier,Burgundian unique cavalry unit which can charge its attack. Strong vs. infantry and archers. Weak vs. Camel Riders and Monks.,Castle,Castle,"{""Food"": 55,""Gold"": 55}",15,1.9,0,1.35,5,115,0,0,8,2,2,,,"Charges its attack over 40 seconds, dealing +20 (+25 Elite) damage on the first enemy unit attacked",-1,100,0,coustillier,Military,Cavalry;Unique Unit,Lords of the West
Cow,Gaia unit.,N/A,N/A,,N/A,0,0,0.65,3,14,0,0,0,0,0,,,Provides 150 food,4,0,0,cow,Gaia,None,Age of Kings
Crocodile,Gaia unit.,N/A,N/A,,N/A,2,0,0.7,12,25,0,0,3,0,0,,,Provides 100 food,12,100,0,crocodile,Gaia,None,Age of Kings
Crossbowman,"Ranged unit. Strong vs. units at long range. Weak vs. Elite Skirmishers, Mangonels, and units at close range.",Castle,Archery Range,"{""Wood"": 25,""Gold"": 45}",27,2,0.35,0.96,7,35,0,5,5,0,0,"[{""amount"": 3, ""against"": ""Spearmen""}]",,,7,85,0,crossbowman,Military,Archer,Age of Kings
Crusader Knight,Powerful all-purpose cavalry. Strong vs. melee and slow ranged units. Weak vs. Halberdiers. Cannot be converted by enemy Monks.,Castle,Stable,"{""Food"": 80,""Gold"": 50}",30,2,0,1.2,5,100,0,0,18,4,4,,,,-1,100,0,crusader-knight,Unbuildable,Cavalry,Dawn of the Dukes
Deer,Wild deers running around,N/A,N/A,,0,0,0,0.737,2,5,0,0,0,0,0,,,Provides 140 food,0,100,0,deer,Gaia,None,Age of Kings
Demolition Raft,Demolition ship armed with explosives. Strong vs. Fire Galleys and buildings. Self-destructs when used.,Feudal,Dock,"{""Wood"": 70,""Gold"": 50}",45,5,0,1.5,6,45,0,0,90,0,2,,,,6,100,2.5,demolition-raft,Navy,Ship,Age of Empires II HD: The African Kingdoms
Demolition Ship,Demolition ship armed with explosives. Strong vs. Fire Ships and buildings. Self-destructs when used.,Castle,Dock,"{""Wood"": 70,""Gold"": 50}",31,5,0,1.6,6,60,0,0,110,0,3,"[{""amount"": 220, ""against"": ""Buildings""}]","[{""amount"": 3, ""against"": ""Camel""}, {""amount"": 3, ""against"": ""Ships""}]",,6,100,3,demolition-ship,Navy,Ship,Age of Kings
Donkey,Gaia unit.,N/A,N/A,,N/A,0,0,0.7,6,70,0,0,0,0,0,,,,6,0,0,donkey,Gaia,None,Age of Kings
Dragon Ship,Warship that spews fire at close range. Strong vs. War Galleys. Weak vs. Demolition Ships,N/A,N/A,,N/A,0.25,0,1.4,6,150,0,3,4,2,8,,,,6,100,0,dragon-ship,Unbuildable,Ship,Age of Empires II HD: The Forgotten
Dromon,"Anti-building siege warship with long range and area of effect attack, but cannot attack enemies at close range. Effective vs. buildings and large groups of units",Imperial,Dock,"{""Wood"": 175,""Gold"": 150}",50,8,0,1.2,14,125,3,12,50,1,6,"[{""amount"": 135, ""against"": ""Building""}, {""amount"": 30, ""against"": ""Siege Weapon""}]",,Can attack ground & fires 4 additional projectiles doing 1 damage each,12,100,0.8,dromon,Navy,Ship,Return to Rome
Eagle Scout,Fast infantry for scouting and raiding. Resistant to conversion. Strong vs. Monks and archers. Weak vs. Men-at-Arms and cavalry.,Feudal,Barracks,"{""Food"": 25,""Gold"": 50}",35,2,0,1.1,5,50,0,0,4,0,2,,,,5,100,0,eagle-scout,Military,Infantry;Eagle Warrior,Age of Empires II HD: The Forgotten
Eagle Warrior,Fast infantry for scouting and raiding. Resistant to conversion. Strong vs. Monks and archers. Weak vs. Long Swordsmen and cavalry.,Dark,Barracks,"{""Food"": 25,""Gold"": 50}",0,2,0,1.15,6,55,0,0,7,0,3,"[{""amount"": 8, ""against"": ""Monks""}, {""amount"": 3, ""against"": ""Siege""}]",,,6,100,0,eagle-warrior,Military,Infantry;Eagle Warrior,The Conquerors
Eastern Swordsman,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,N/A,N/A,,N/A,2,0,0.9,4,60,0,0,9,0,1,,,,4,100,0,eastern-swordsman,Unbuildable,Infantry,Age of Empires II HD: The Forgotten
Elephant,Gaia unit.,N/A,N/A,,N/A,2,0,0.8,4,75,0,0,7,0,0,,,Provides 300 food,4,100,0,elephant,Gaia,None,Age of Kings
Elephant Archer,"Slow, high HP cavalry archer. Strong vs most ranged units. Weak vs skirmishers, camels, pikemen, monks. ",Castle,Archery Range,"{""Food"": 80,""Gold"": 70}",34,2,0.4,0.9,7,230,0,4,6,0,2,,,,-1,70,0,elephant-archer,Military,Cavalry Archer;Archer;Cavalry;War Elephant,Dynasties of India
Elite Arambai,Burmese unique cavalry archer with a powerful but inaccurate dart attack. Strong vs. infantry and cavalry. Weak vs. archers.,Imperial,Castle,"{""Wood"": 75,""Gold"": 60}",21,2,0.15,1.3,7,65,0,5,14,0,2,,,Missed projectiles deal 100% damage too,7,30,0,arambai,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Age of Empires II HD: Rise of the Rajas
Elite Ballista Elephant,Khmer unique elephant equipped with a Scorpion. Can destroy trees. Strong vs. infantry and archers. Weak vs. cavalry and siege weapons.,Imperial,Castle,"{""Food"": 100,""Gold"": 80}",25,2.5,0,0.8,7,290,0,5,9,0,3,,,,6,100,0,ballista-elephant,Military,Cavalry;War Elephant;Siege Weapon;Unique Unit;Hussite Wagon,Definitive Edition
Elite Battle Elephant,"Slow and heavy cavalry. Strong vs. cavalry, infantry, and archers. Weak vs. Monks and Pikemen.",Imperial,Stable,"{""Food"": 110,""Gold"": 70}",24,2,0,0.88,8,300,0,0,14,1,3,,,,4,100,0.4,elite-battle-elephant,Military,Cavalry;War Elephant,Definitive Edition
Elite Berserk,Viking unique infantry unit that slowly heals itself. Strong vs. infantry and siege weapons. Weak vs. archers.,Imperial,Castle,"{""Food"": 65,""Gold"": 25}",16,2,0,1.05,5,62,0,0,14,2,1,"[{""amount"": 3, ""against"": ""Eagles""}, {""amount"": 3, ""against"": ""Buildings""}]",,Heals itself for 40 HP per minute,3,100,0,berserk,Military,Infantry;Unique Unit,Age of Kings
Elite Boyar,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Halberdiers, Heavy Camel Riders, and Monks.",Imperial,Castle,"{""Food"": 50,""Gold"": 80}",15,1.9,0,1.4,5,130,0,0,14,6,2,,,,4,100,0,boyar,Military,Cavalry;Unique Unit,Age of Empires II HD: The Forgotten
Elite Camel Archer,"Berber unique mounted archer. Strong vs. Cavalry Archers and infantry. Weak vs. Pikemen, Skirmishers, and Camel Riders.",Imperial,Castle,"{""Wood"": 50,""Gold"": 60}",25,2,0,1.4,5,60,0,4,8,1,1,"[{""amount"": 6, ""against"": ""Cavalry Archer""}]",,,5,95,0,camel-archer,Military,Archer;Cavalry Archer;Camel;Unique Unit,Age of Empires II HD: The African Kingdoms
Elite Cannon Galleon,"Anti-building siege warship with long range, but cannot attack enemies at close range. Strong vs. buildings. Weak vs. other units.",Imperial,Dock,"{""Wood"": 200,""Gold"": 150}",46,10,0,1.1,17,150,3,15,60,0,8,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 25, ""against"": ""Siege""}]",,,17,100,0.3,cannon-galleon,Military,Ship;Gunpowder Unit,Age of Kings
Elite Caravel,Portuguese unique ship that fires bolts that pierce multiple units. Strong vs. large groups of ships. Weak vs. Fire Ships.,Imperial,Dock,"{""Wood"": 90,""Gold"": 34}",36,3,0,1.43,9,150,0,6,8,0,8,,,,9,100,0,caravel,Navy,Ship;Unique Unit,Age of Empires II HD: The African Kingdoms
Elite Cataphract,Byzantine unique cavalry unit. Strong vs. infantry. Weak vs. archers.,Imperial,Castle,"{""Food"": 70,""Gold"": 75}",20,1.7,0,1.35,5,150,0,0,12,2,1,"[{""amount"": 12, ""against"": ""Infantry""}]","[{""amount"": 16, ""against"": ""Cavalry""}]",,4,100,0,cataphract,Military,Cavalry;Unique Unit,Age of Kings
Elite Centurion,"Roman Unique Cavalry Unit, trained at Castle. Increases movement speed by 10% (15% Elite) and attack speed by 25% (33% Elite) of Militia-line units in 10 (12 Elite) tile radius. The effect does not stack for multiple Centurions.",Imperial,Castle,"{""Food"": 75,""Gold"": 85}",24,1.9,0,1.35,4,155,0,0,15,3,3,,,Emits an aura that increases movement and attack speed of nearby Militia line units by 20%,5,100,0,centurion,Military,Cavalry;Unique Unit,Return to Rome
Elite Chakram Thrower,Gurjara unique infantry unit with ranged melee attack that passes through enemies for 100% damage. Strong vs. infantry. Weak vs. archers and siege weapons. ,Imperial,Castle,"{""Food"": 65,""Gold"": 30}",15,2,0.8,1.15,8,50,0,6,4,1,0,"[{""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 2, ""against"": ""Standard Buildings""}, {""amount"": 1, ""against"": ""Infantry""}]",,Has 100% pass-through damage in 0.2 tiles width,-1,100,0,chakram-thrower,Military,Infantry;Unique Unit,Dynasties of India
Elite Chu Ko Nu,Chinese unique archer with rapid-fire attack. Strong vs. infantry. Weak vs. archers and siege weapons.,Imperial,Castle,"{""Wood"": 40,""Gold"": 35}",13,3,0.21,0.96,6,50,0,4,8,0,0,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,6,85,0,chukonu,Military,Archer,Age of Kings
