name,description,age,created_in,cost,build_time,reload_time,attack_delay,movement_rate,line_of_sight,hit_points,min_range,max_range,attack,melee_armor,ranged_armor,attack_bonus,armor_bonus,special,search_radius,accuracy,blast_radius,image,type,armor_class,expansion
Norse Warrior,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,N/A,N/A,{},N/A,2,0,0.9,4,60,0,0,9,0,1,,,,4,100,0,norse-warrior,Unbuildable,Infantry,Age of Kings
Obuch,Polish unique infantry unit which can damage the armor of units it is fighting. Strong vs. buildings and infantry. Weak vs. archers at long range.,Castle,Castle,"{""Food"": 55,""Gold"": 20}",12,2,0,0.9,3,80,0,0,8,2,2,"[{""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 4, ""against"": ""Standard Buildings""}]",,Reduces armor and pierce armor of units by 1 each with every attack,-1,100,0,obuch,Military,Infantry;Unique Unit,Dawn of the Dukes
Onager,"Ranged siege weapon with area of effect attack, but cannot attack enemies at close range. Strong vs. tight groups of units. Can attack ground and destroy trees.",Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 135}",46,6,0,0.6,10,60,3,8,50,0,7,"[{""amount"": 45, ""against"": ""Buildings""}, {""amount"": 12, ""against"": ""Siege""}]",,,10,100,1.25,onager,Military,Siege Weapon,Age of Kings
Organ Gun,Portuguese unique siege unit. Fires a volley of bullets. Strong vs. large groups of units. Weak vs. cavalry and Mangonels.,Castle,Castle,"{""Wood"": 80,""Gold"": 56}",21,3.45,0.6,0.85,9,60,1,7,7,2,4,"[{""amount"": 1, ""against"": ""Infantry""}, {""amount"": 1, ""against"": ""Ram""}, {""amount"": 1, ""against"": ""Skirmisher""}]",,"Fires 5 bullets in a spread pattern that can hit multiple enemies. It is more effective against large groups of units, because the multiple bullets disperse in a small cone, hitting multiple units.",9,0,0,organ-gun,Military,Siege Weapon;Gunpowder Unit;Unique Unit,Age of Empires II HD: The African Kingdoms
Ostrich,Gaia unit. Provides 140 food.,N/A,N/A,,N/A,0,0,0.737,2,5,0,0,0,0,0,,,,1,100,0,ostrich,Gaia,None,Age of Kings
Ox Cart,Civilian unit.,N/A,N/A,,N/A,0,0,1,7,70,0,0,0,0,0,,,,7,0,0,ox-cart,Civilian,None,Age of Kings
Ox Wagon,Civilian unit.,N/A,N/A,,N/A,0,0,1,7,140,0,0,0,0,0,,,,7,0,0,ox-wagon,Civilian,None,Age of Kings
Paladin,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Halberdiers, Heavy Camel Riders, and Monks.",Imperial,Stable,"{""Food"": 60,""Gold"": 75}",30,1.9,0,1.35,5,160,0,0,14,2,3,,,,4,100,0,paladin,Military,Cavalry,Age of Kings
Penguin,Cheat unit.,Dark,Town Center,,0,2,0,0.92,6,64,0,0,16,4,4,,,,-1,100,0,penguin,Cheat,None,The Forgotten
Petard,Demolition infantry armed with explosives. Strong vs. buildings. Weak vs. other units. Self-destructs when used.,Castle,Castle,"{""Food"": 80,""Gold"": 20}",25,5,0,0.8,4,50,0,0,25,0,2,"[{""amount"": 500, ""against"": ""Buildings""}, {""amount"": 100, ""against"": ""Castle""}, {""amount"": 60, ""against"": ""Siege""}, {""amount"": 8, ""against"": ""Walls""}, {""amount"": 8, ""against"": ""Gates""}]",,,4,100,0.5,petard,Military,None,The Conquerors
Pikeman,"Anti-cavalry infantry unit. Strong vs. mounted units, especially elephants. Weak vs. archers and infantry.",Castle,Barracks,"{""Food"": 35,""Wood"": 25}",22,3,0,1,4,55,0,0,4,0,0,"[{""amount"": 1, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Eagles""}, {""amount"": 22, ""against"": ""Cavalry""}, {""amount"": 11, ""against"": ""Camels""}, {""amount"": 11, ""against"": ""Ships""}, {""amount"": 47, ""against"": ""War Elephants""}]",,,4,100,0,pikeman,Military,Infantry;Spearman,Age of Kings
Plumed Archer,Mayan unique fast-moving archer. Strong vs. archers and infantry. Weak vs. cavalry.,Castle,Castle,"{""Wood"": 37,""Gold"": 37}",16,1.9,0.5,1.2,6,50,0,4,5,0,1,"[{""amount"": 1, ""against"": ""Infantry""}, {""amount"": 2, ""against"": ""Spearmen""}]",,,6,80,0,plumed-archer,Military,Archer;Unique Unit,The Conquerors
Photon Man,Cheat unit.,Dark,Town Center,,N/A,2,,1.2,12,80,0,10,30,2,2,,,,-1,95,0,photon-man,Cheat,Archer;Unique Unit;Gunpowder Unit,The Last Khans
Priest,Converts enemy units to your civilization. Heals friendly units (except ships and siege weapons). Strong vs. slow and non-ranged units. Weak vs. Light Cavalry and ranged units. Can collect Relics and bring them to Monasteries.,Dark,Monastery;Pagan Shrine,"{""Gold"": 100}",51,62,0,0.7,11,30,0,9,0,0,0,,,,-1,100,0,priest,Unbuildable,Monk,Age of Empires II HD: The African Kingdoms
Ratha (Melee),Bengali unique chariot that can switch between melee and ranged attacks. Strong vs. infantry. Weak vs. Skirmishers and Camel Riders.,Castle,Castle,"{""Wood"": 60,""Gold"": 60}",18,2,0.33,1.3,6,105,0,0,10,2,1,,,Can switch between melee and ranged attack modes,-1,100,0,ratha-melee,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Dynasties of India
Ratha (Ranged),Bengali unique chariot that can switch between melee and ranged attacks. Strong vs. infantry. Weak vs. Skirmishers and Camel Riders.,Castle,Castle,"{""Wood"": 60,""Gold"": 60}",18,2,0.33,1.3,6,105,0,4,5,2,1,,,Can switch between melee and ranged attack modes,-1,80,0,ratha-ranged,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Dynasties of India
Rattan Archer,Vietnamese unique archer with high pierce armor. Strong vs. archers and infantry. Weak vs. cavalry and Skirmishers.,Castle,Castle,"{""Wood"": 50,""Gold"": 45}",16,2,0,1.1,6,40,0,4,6,0,4,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,6,80,0,rattan-archer,Military,Archer;Unique Unit,Age of Empires II HD: Rise of the Rajas
Rhino,Gaia unit. Provides 400 food.,N/A,N/A,,N/A,2,0,0.8,4,75,0,0,7,0,0,,,,4,100,0,rhino,Gaia,None,Age of Kings
Royal Janissary,Turkish unique hand cannoneer with longer range and no minimum range. Strong vs. infantry. Weak vs. archers.,Imperial,Castle,"{""Food"": 60,""Gold"": 55}",17,3.45,0,0.96,10,55,0,8,22,2,0,,,,10,50,0,royal-janissary,Unbuildable,Archer;Gunpowder Unit;Unique Unit,Age of Kings
Saboteur,Cheat unit.,Dark,Town Center,,0,0,0,1.35,6,45,0,0,100,1,3,,,,-1,100,2.5,saboteur,Cheat,Ship (for some reason),Age of Kings
Samurai,Japanese unique infantry unit with fast attack. Strong vs. unique units and infantry. Weak vs. archers.,Castle,Castle,"{""Food"": 60,""Gold"": 30}",9,1.9,0,1,4,60,0,0,8,1,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Unique Units""}]",,,4,100,0,samurai,Military,Infantry;Unique Unit,Age of Kings
Savar,Persian upgrade to the Cavalier (replacing Paladin),Imperial,Stable,"{""Food"": 60,""Gold"": 75}",30,1.8,0,1.35,5,145,0,0,14,3,4,"[{""amount"": 5, ""against"": ""Archers""}]",,,-1,100,0,savar,Military,Cavalry,The Mountain Royals
Scorpion,Anti-unit siege weapon. Fires bolts that pierce multiple units. Strong vs. large groups of units. Weak vs. cavalry and siege weapons.,Castle,Siege Workshop,"{""Wood"": 75,""Gold"": 75}",30,3.6,0.21,0.65,9,40,2,7,12,0,7,"[{""amount"": 2, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Rams""}, {""amount"": 6, ""against"": ""War Elephant""}]",,,9,100,0,scorpion,Military,Siege Weapon,Age of Kings
Scout Cavalry,Fast cavalry for scouting and raiding. Resistant to conversion. Strong vs. Monks. Weak vs. Pikemen and Camel Riders.,Dark,Stable,"{""Food"": 80}",30,2,0,1.2,4,45,0,0,3,0,2,"[{""amount"": 6, ""against"": ""Monks""}]",,,4,100,0,scout-cavalry,Military,Cavalry,Age of Kings
Serjeant,Sicilian unique infantry unit which can construct Donjons.,Feudal,Castle;Donjon,"{""Food"": 50,""Gold"": 35}",12,2,0,0.9,3,65,0,0,8,3,3,"[{""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 2, ""against"": ""Standard Buildings""}]",,Can build and repair Donjons. Stats improve on each age up. Build/repair 25% slower in Feudal Age.,-1,100,0,serjeant,Military,Infantry;Unique Unit,Lords of the West
Sharkatzor,Cheat unit.,Dark,Town Center,,N/A,2.1,0,2,11,600,0,10,33,1,0,,,,-1,95,1,sharkatzor,Cheat,Siege Weapon,Rise of the Rajas
Sheep,Can be picked up by player and used to scout. Provides 100 food.,Dark,N/A,,0,0,0,0.7,3,7,0,0,0,0,0,,,,0,100,0,sheep,Gaia,None,Age of Kings
Shotel Warrior,Ethiopian unique infantry with high attack and fast training speed. Fast-moving. Strong vs. infantry. Weak vs. archers.,Castle,Castle,"{""Food"": 50,""Gold"": 35}",8,2,0,1.2,3,40,0,0,16,0,0,,,,3,100,0,shotel-warrior,Military,Infantry;Unique Unit,Definitive Edition
Shrivamsha Rider,Gurjara unique light cavalry unit which can dodge projectiles. Will not dodge splash damage. Strong vs. archers. Weak vs. Pikemen and Camel Riders.,Castle,Stable,"{""Food"": 70,""Gold"": 20}",20,1.75,0,1.6,5,55,0,0,8,0,1,,,"Can ""dodge"" five (seven for Elite) consecutive projectiles in a 20 second time frame",-1,100,0,shrivamsha-rider,Military,Cavalry;Unique Unit,Dynasties of India
Siege Elephant,A mounted siege unit with high HP.,Imperial,Siege Workshop,"{""Food"": 120,""Gold"": 95}",36,3,0,0.6,4,220,0,0,4,-2,150,"[{""amount"": 105, ""against"": ""Buildings""}, {""amount"": 35, ""against"": ""Siege Weapons""}]","[{""amount"": 10, ""against"": ""Cavalry""}, {""amount"": 20, ""against"": ""War Elephant""}]",Cannot be converted from distance,4,100,0,siege-elephant,Military,Cavalry;War Elephant;Siege Weapon;Ram,Dynasties of India
Siege Onager,"Ranged siege weapon with area of effect attack, but cannot attack enemies at close range. Strong vs. tight groups of units. Can attack ground and destroy trees.",Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 135}",46,6,0,0.6,10,70,3,8,75,0,8,"[{""amount"": 60, ""against"": ""Buildings""}, {""amount"": 12, ""against"": ""Siege""}]",,,10,100,1.5,siege-onager,Military,Siege Weapon,Age of Kings
Siege Ram,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 75}",36,5,0,0.6,3,270,0,0,4,0,195,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 65, ""against"": ""Siege""}]","[{""amount"": -3, ""against"": ""Melee""}, {""amount"": 2, ""against"": ""Ram""}]",,3,100,2,siege-ram,Military,Siege Weapon;Ram,Age of Kings
Siege Tower,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Castle,Siege Workshop,"{""Wood"": 200,""Gold"": 160}",36,4,0,0.6,8,220,1,6,6,0,100,,,,8,90,0,siege-tower,Military,Siege Weapon;Ram,Age of Kings
Skirmisher,Ranged anti-archer unit that cannot attack at close range. Strong vs. archers. Weak vs. units at close range.,Feudal,Archery Range,"{""Food"": 25,""Wood"": 35}",22,3,0.5,0.96,6,30,1,4,2,0,3,"[{""amount"": 3, ""against"": ""Archers""}, {""amount"": 3, ""against"": ""Hand Cannoneers""}, {""amount"": 3, ""against"": ""Conquistadors""}, {""amount"": 3, ""against"": ""Skirmishers""}, {""amount"": 3, ""against"": ""Spearmen""}]",,,6,90,0,skirmisher,Military,Archer,Age of Kings
Slinger,"Ranged unit. Strong vs. units at long range. Weak vs. Elite Skirmishers, Mangonels, and units at close range.",Castle,Archery Range,"{""Food"": 40,""Gold"": 40}",25,2,0,0.96,7,40,1,5,4,0,0,,,,7,90,0,slinger,Military,Archer;Unique Unit,Age of Empires II HD: The Forgotten
Spearman,"Anti-cavalry infantry unit. Strong vs. mounted units, especially elephants. Weak vs. archers and infantry.",Feudal,Barracks,"{""Food"": 35,""Wood"": 15}",22,3,0,1,4,45,0,0,3,0,0,"[{""amount"": 1, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Eagles""}, {""amount"": 15, ""against"": ""Cavalry""}, {""amount"": 7, ""against"": ""Camels""}, {""amount"": 7, ""against"": ""Ships""}, {""amount"": 30, ""against"": ""War Elephants""}]",,,4,100,0,spearman,Military,Infantry;Spearman,Age of Kings
Steppe Lancer,Light cavalry unit with increased attack range. Strong in groups. Weak vs. Camel Riders and archers.,Castle,Stable,"{""Food"": 70,""Gold"": 45}",24,2.3,0,1.45,5,60,0,1,8,0,1,,,,4,100,0,steppe-lancer,Military,Cavalry,Definitive Edition
Tarkan,Hunnic unique cavalry unit with attack bonus vs. buildings. Strong vs. buildings and archers. Weak vs. Pikemen and Camel Riders.,Castle,Castle,"{""Food"": 60,""Gold"": 60}",14,2.1,0,1.35,5,100,0,0,8,1,3,"[{""amount"": 8, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Castle""}, {""amount"": 12, ""against"": ""Stone Defenses""}, {""amount"": 8, ""against"": ""Walls""}, {""amount"": 8, ""against"": ""Gates""}]",,,5,100,0,tarkan,Military,Cavalry;Unique Unit,The Conquerors
Teutonic Knight,Teutonic unique infantry unit. Slow and powerful. Strong vs. melee units. Weak vs. archers and Scorpions.,Castle,Castle,"{""Food"": 85,""Gold"": 40}",12,2,0,0.7,3,80,0,0,12,5,2,"[{""amount"": 4, ""against"": ""Eagles""}, {""amount"": 4, ""against"": ""Buildings""}]",,,3,100,0,teutonic-knight,Military,Infantry;Unique Unit,Age of Kings
Thirisadai,"Massive warship that fires five arrows at once, and is only available in the Imperial Age",Imperial,Dock,"{""Wood"": 180,""Gold"": 60}",40,3.45,0,1.3,8,250,0,6,9,2,10,"[{""amount"": 9, ""against"": ""Buildings""}, {""amount"": 4, ""against"": ""Ram""}, {""amount"": 9, ""against"": ""Fishing Ships""}, {""amount"": 9, ""against"": ""Ships""}]",,,0,85,0,thirisadai,Navy,Ship;Turtle Ship;Unique Unit,Dynasties of India
Throwing Axeman,Frankish unique infantry unit with ranged melee attack. Strong vs. infantry. Weak vs. archers and siege weapons.,Castle,Castle,"{""Food"": 55,""Gold"": 25}",17,2,1.2,1,5,60,0,3,7,0,0,"[{""amount"": 1, ""against"": ""Eagles""}, {""amount"": 1, ""against"": ""Buildings""}]",,,5,100,0,throwing-axeman,Military,Infantry;Unique Unit,Age of Kings
Tiger,Hostile Gaia unit. Provides no food.,N/A,N/A,,N/A,2,0,0.7,12,25,0,0,3,0,0,,,,12,100,0,tiger,Gaia,None,Age of Kings
Trade Cart,Used to trade with other players by land. Carries goods from your Market to another player's Market and brings back gold. The farther the Market the higher your profit,Feudal,Market,"{""Wood"": 100,""Gold"": 50}",50,0,0,1,7,70,0,0,0,0,0,,,,6,100,0,trade-cart,Civilian,None,Age of Kings
Trade Cog,Movement rate 2.00 with caravan,Feudal,Dock,"{""Wood"": 100,""Gold"": 50}",36,0,0,1.32,6,80,0,0,0,0,6,,,,6,100,0,trade-cog,Civilian,None,Age of Kings
Transport Ship,"Used to move units across water. Select the units you want to transport, then right-click on the Transport Ship to board them. Use the Unload button to unload units on the shore.",Feudal,Dock,"{""Wood"": 125}",45,0,0,1.45,5,100,0,0,0,4,8,,,,5,100,0,transport-ship,Navy,Ship,Age of Kings
Trebuchet,Powerful siege weapon used to destroy buildings and walls from long distance. Cannot fire on close units. Must be packed to move and unpacked to attack. Can cut paths through forests. Unpack time: 0:11,Imperial,Castle,"{""Wood"": 200,""Gold"": 200}",50,10,0.6,0,18,150,4,16,200,1,150,"[{""amount"": 250, ""against"": ""Buildings""}]",,,18,15,0,trebuchet,Military,Siege Weapon;Ram,Age of Kings
Trebuchet (packed),Powerful siege weapon used to destroy buildings and walls from long distance. Cannot fire on close units. Must be packed to move and unpacked to attack. Can cut paths through forests. Unpack time: 0:11,Imperial,Castle,"{""Wood"": 200,""Gold"": 200}",50,0,0,0.8,18,150,0,0,0,2,8,"[{""amount"": 250, ""against"": ""Buildings""}]",,,18,15,0,trebuchet-packed,Military,Siege Weapon,Age of Kings
Turkey,Alternative to sheep. Provides 100 food.,Dark,N/A,,0,0,0,0.7,3,7,0,0,0,0,0,,,,3,100,0,turkey,Gaia,None,The Conquerors
Turtle Ship,Korean unique ship. Slow and ironclad. Strong vs. warships and buildings.,Castle,Dock,"{""Wood"": 200,""Gold"": 200}",50,6,0,0.9,8,200,0,6,50,6,5,,"[{""amount"": 8, ""against"": ""Ships""}]",,8,100,0.5,turtle-ship,Military,Ship;Turtle Ship;Gunpowder Unit;Unique Unit,The Conquerors
Two Handed Swordsman,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,Imperial,Barracks,"{""Food"": 60,""Gold"": 20}",21,2,0,0.9,5,60,0,0,12,0,1,"[{""amount"": 6, ""against"": ""Eagles""}, {""amount"": 3, ""against"": ""Buildings""}]",,,4,100,0,two-handed-swordsman,Military,Infantry,Age of Kings
Urumi Swordsman,"An infantry unit that charges its attack over a period of time, dealing increased damage on its first attack against an enemy unit, the charged attacks also do trample damage, but not regular attacks.",Castle,Castle,"{""Food"": 65,""Gold"": 20}",9,2,0,1.05,3,55,0,0,8,1,0,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 1, ""against"": ""Buildings""}]",,"Charges its attack by +12 (+15 Elite) over 24 (20 Elite) seconds, dealing a blast attack of 50% strength in 0.75 tiles radius",0,100,0,urumi-swordsman,Military,Infantry;Unique Unit,Dynasties of India
Villager,Gathers resources. Builds and repairs buildings. Also repairs ships and siege weapons.,Dark,Town Center,"{""Food"": 50}",25,2,0,0.8,4,25,0,0,3,0,0,,,,4,100,0,villager,Civilian,None,Age of Kings
VMDL,Cheat unit.,Dark,Town Center,,0,0,0,1,4,25,0,0,0,0,0,,,,-1,100,0,vmdl,Cheat,None,Age of Kings
War Elephant,Persian unique unit. Slow and powerful cavalry. Strong vs. buildings and units at close range. Weak vs. Monks.,Castle,Castle,"{""Food"": 200,""Gold"": 75}",31,2,0,0.8,7,450,0,0,15,1,2,"[{""amount"": 30, ""against"": ""Standard Buildings""}, {""amount"": 30, ""against"": ""Stone Buildings""}]",,,4,100,0.5,war-elephant,Military,Cavalry;War Elephant;Unique Unit,Age of Kings
War Galley,All-purpose warship with ranged attack. Weak vs. Fire Ships.,Castle,Dock,"{""Wood"": 90,""Gold"": 30}",36,3,0,1.43,8,135,0,6,7,0,6,"[{""amount"": 7, ""against"": ""Buildings""}, {""amount"": 7, ""against"": ""Camels""}, {""amount"": 4, ""against"": ""Rams""}, {""amount"": 7, ""against"": ""Ships""}]",,,8,100,0,war-galley,Navy,Ship,Age of Kings
Warrior Priest,The Warrior Priest is a unique infantry unit of the Armenians,Castle,Fortified Church,"{""Food"": 30,""Gold"": 60}",30,0,0,0.85,3,80,0,0,11,1,1,,,Heals units & Carries Relics,-1,100,0,warrior-priest,Military,Infantry;Monk;Unique Unit,The Mountain Royals
War Wagon,"Korean unique cavalry archer unit. Strong vs. infantry and archers. Weak vs. Pikemen, Skirmishers, and Camel Riders.",Castle,Castle,"{""Wood"": 200,""Gold"": 60}",25,2.5,1,1.2,7,150,0,4,9,0,3,"[{""amount"": 5, ""against"": ""Buildings""}]",,,6,100,0,war-wagon,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,The Conquerors
Wild Boar,Wild boar. Provides 340 food.,Dark,N/A,,0,2,0,0.96,4,75,0,0,7,0,0,,,,4,100,0,wild-boar,Gaia,None,Age of Kings
Woad Raider,Celtic unique infantry unit. Fast-moving. Strong vs. infantry and siege weapons. Weak vs. archers and cavalry.,Castle,Castle,"{""Food"": 65,""Gold"": 25}",10,2,0,1.2,3,70,0,0,11,0,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}]",,,3,100,0,woad-raider,Military,Infantry;Unique Unit,Age of Kings
Wolf,Wild wolf. Gives no food just kills people. Line of sight also depends on difficulty (4-12 LOS),Dark,N/A,,0,2,0,1.05,12,25,0,0,3,0,0,,,,4,100,0,wolf,Gaia,None,Age of Kings
Xolotl Warrior,Mesoamerican cavalry unit. Strong vs. infantry and siege. Weak vs. Pikemen and Camel Riders.,Castle,Stable,"{""Food"": 60,""Gold"": 75}",30,1.8,0,1.35,4,100,0,0,10,2,2,,,,4,100,0,xolotl-warrior,Military,Cavalry,Definitive Edition
Zebra,Gaia unit. Provides 140 food.,N/A,N/A,,N/A,0,0,0.737,2,5,0,0,0,0,0,,,,1,100,0,zebra,Gaia,None,Age of Kings